Repository,Top 4 Contributors (commits)
Publications,"Murat Maga (muratmaga), Hilmar Lapp (hlapp)"
Palette_Butterfly,"None (thibaulttabarin), John Bradley (johnbradley)"
dataverse-access,John Bradley (johnbradley)
ml_toolbox,"David Carlyn (DavidCarlyn), None (elhamod)"
2023-03-22-imageomics,Hilmar Lapp (hlapp)
snakemake-workshop,"John Bradley (johnbradley), Matt Thompson (thompsonmj), Hilmar Lapp (hlapp)"
docker-workshop,"Raniere Silva (rgaiacs), François Michonneau (fmichonneau), Greg Wilson (gvwilson), Sarah Stevens (sstevens2)"
ai-explainability,"David Carlyn (DavidCarlyn), Matt Thompson (thompsonmj)"
.github,"Elizabeth Campolongo (egrace479), Matt Thompson (thompsonmj)"
pyphenoscape,John Bradley (johnbradley)
Andromeda,"John Bradley (johnbradley), House (llhouse2), Elizabeth Campolongo (egrace479), Matt Thompson (thompsonmj)"
slicerMorph_JSON_generator,"Elizabeth Campolongo (egrace479), Murat Maga (muratmaga)"
WingSeg,Arthur Porto (agporto)
Butterfly-mimicry,"Elizabeth Campolongo (egrace479), Reshma Ramesh Babu (reshmarameshbabu)"
rembg,"Daniel Gatis (danielgatis), None (Flippchen), Jan Philip Göpfert (jangop), Carlo Grisetti (carlogrisetti)"
recolorize,"Hannah Weller (hiweller), Hugo Gruson (Bisaloo)"
patternize,Steven M. Van Belleghem (StevenVB12)
ml-morph,Arthur Porto (agporto)
wing-segmentation,"None (michellernvidia), Elizabeth Campolongo (egrace479), Michelle Ramirez (ramirezmichelle), Matt Thompson (thompsonmj)"
colordistance,Hannah Weller (hiweller)
AcuityView,None (eleanorcaves)
recolorize_examples,Hannah Weller (hiweller)
color-palette-generator,Bavo Maes (bavomaes)
phenopype,Moritz Lürig (mluerig)
dashboard-prototype,"Elizabeth Campolongo (egrace479), John Bradley (johnbradley), Matt Thompson (thompsonmj), None (dependabot[bot])"
Image-Datapalooza-2023,"Hilmar Lapp (hlapp), Elizabeth Campolongo (egrace479)"
TDIP,Matthieu Gendre (Matgend)
TraitBlender,"Caleb P. Charpentier (calcharp), Elizabeth Campolongo (egrace479)"
GEMMA,"Pjotr Prins (pjotrp), Peter Carbonetto (pcarbo), Xiang Zhou (xiangzhou), Danny Arends (DannyArends)"
marmosets-hybrid-classification,"David Carlyn (DavidCarlyn), Elizabeth Campolongo (egrace479)"
LatLonCover,"Amber York (adyork), John Bradley (johnbradley), House (llhouse2), Ikenna Onyekwelu (Ikenna10)"
telemetry-dashboard,"Elizabeth Campolongo (egrace479), John Bradley (johnbradley), Matt Thompson (thompsonmj)"
plazi-multipanel-figures,"Jim Balhoff (balhoff), Nicky Nicolson (nickynicolson), Hilmar Lapp (hlapp)"
drawers2data,"None (RumaliPerera), None (sriram98v), Amy Cogswell (acogs-data), None (nfshoobs)"
color-calibration,"David Carlyn (DavidCarlyn), Matt Thompson (thompsonmj)"
dna-trait-analysis,David Carlyn (DavidCarlyn)
pyMorphoSource,"John Bradley (johnbradley), Elizabeth Campolongo (egrace479)"
INTR,"Dipanjyoti Paul (dipanjyoti), David Carlyn (DavidCarlyn), Elizabeth Campolongo (egrace479), Matt Thompson (thompsonmj)"
2024-02-12-osu-online,Matt Thompson (thompsonmj)
bioclip,"Ross Wightman (rwightman), Romain Beaumont (rom1504), Mitchell Wortsman (mitchellnw), Cade Gordon (Zasder3)"
biobench,"Sam (samuelstevens), Jianyang Gu (vimar-gu)"
phylo-diffusion,Mridul Khurana (mridulk97)
pybioclip,N/A
data-workshop-AH-2024,"Matt Thompson (thompsonmj), Elizabeth Campolongo (egrace479), John Bradley (johnbradley)"
TaxonoPy,"Matt Thompson (thompsonmj), None (Dahlializi), Elizabeth Campolongo (egrace479)"
char-sim,"Jim Balhoff (balhoff), None (KSoumya), Elizabeth Campolongo (egrace479), Juan Jose Garcia (jjgarciac)"
HDR-anomaly-challenge,"Elizabeth Campolongo (egrace479), Lisa (work4cs), David Carlyn (DavidCarlyn)"
BeetlePalooza-2024,"Hilmar Lapp (hlapp), Sydne Record (she/her/hers) (sydnerecord), Laura Nagel (Nagelle), Elizabeth Campolongo (egrace479)"
parquet-cli,Matt Thompson (thompsonmj)
distributed-downloader,"Andrei Kopanev (Andrey170170), Elizabeth Campolongo (egrace479), Matt Thompson (thompsonmj)"
sum-buddy,"Elizabeth Campolongo (egrace479), Matt Thompson (thompsonmj), Nipun Jonnalagadda (coolnipunj), Zoe Duan (zoeduan)"
kabr-tools,"None (zhong-al), Jenna Kline (jennamk14), Elizabeth Campolongo (egrace479), Emerson Frasure (EmersonFras)"
VLM4Bio,"M. Maruf (sammarfy), Elizabeth Campolongo (egrace479)"
cautious-robot,"Elizabeth Campolongo (egrace479), Zoe Duan (zoeduan), Emerson Frasure (EmersonFras), None (Dahlializi)"
Fish-Vista,"None (sajeedmehrab), Elizabeth Campolongo (egrace479), Abhilash Neog (abhilash-neog)"
bioclip-vector-db,"Net Zhang (NetZissou), Sreejith Menon (smenon8), Matt Thompson (thompsonmj)"
2024-08-16-osu-online,Matt Thompson (thompsonmj)
2018-NEON-beetles-processing,"Elizabeth Campolongo (egrace479), Michelle Ramirez (ramirezmichelle), Ekaterina Nepovinnykh (kwadraterry), Hilmar Lapp (hlapp)"
EcoPalette,"Alyson East (AlysonEast), Elizabeth Campolongo (egrace479)"
sdm-beetlepalooza,"Hsun-Yi Hsieh (hhsieh), Hilmar Lapp (hlapp)"
wildwing,"Jenna Kline (jennamk14), Elizabeth Campolongo (egrace479), Xinyue Ma (roselite-iris)"
SlowFast,"Haoqi Fan (haooooooqi), Yanghao Li (lyttonhao), Christoph Feichtenhofer (feichtenhofer), None (bxiong1202)"
HComPNet,"M Nauta (M-Nauta), Harish Babu Manogaran (harishB97), Elizabeth Campolongo (egrace479)"
HDR-anomaly-challenge-sample,"Elizabeth Campolongo (egrace479), Ziheng Zhang (Link7808), David Carlyn (DavidCarlyn), Lisa (work4cs)"
Imageomics-guide,"Elizabeth Campolongo (egrace479), Matt Thompson (thompsonmj), Net Zhang (NetZissou), Graham Taylor (gwtaylor)"
GGR_pipeline,"Aidan Westphal (AidanWestphal), Ilan Beyen (IBeyen), Lawrence Miao (LawrenceMiao), Ekaterina Nepovinnykh (kwadraterry)"
animal-id,"Jaeseok Kang (ziesski), Lawrence Miao (LawrenceMiao)"
2025-02-11-osu-online,Matt Thompson (thompsonmj)
invasives-project,"David Carlyn (DavidCarlyn), Catherine Villeneuve     (cath34), None (sajeedmehrab), Elizabeth Campolongo (egrace479)"
Finer-CAM,"Ziheng Zhang (Link7808), Jianyang Gu (vimar-gu)"
SST,"David Carlyn (DavidCarlyn), Daniel Feng (DeFisch), Elizabeth Campolongo (egrace479), Hilmar Lapp (hlapp)"
TreeOfLife-toolbox,"Andrei Kopanev (Andrey170170), Elizabeth Campolongo (egrace479), Net Zhang (NetZissou)"
Prompt_CAM,"Arpita Chowdhury (arpita-chowdhury-osu), Sahasra Yikuntam (sahasra-yikuntam)"
mmla,Jenna Kline (jennamk14)
bioclip-2,"Ross Wightman (rwightman), Romain Beaumont (rom1504), Mitchell Wortsman (mitchellnw), Elizabeth Campolongo (egrace479)"
